canddt_name_2019,canddt_sex_2019,canddt_age_2019,canddt_category_2019
MANJUNATHA MARIKOPPA,M,32,SC
MANJUNATHA. M,M,32,GEN
MANJUR ALAHI MUNSHI,M,54,GEN
MANMOHAN GARODIA,M,56,GEN
MANMOHAN SHAH BATTI,M,56,ST
Manmohan Singh,M,58,GEN
MANNA SINGH,M,60,ST
Mannan M P,M,58,SC
Mannava Hariprasad,M,55,GEN
MANNE SRINIVAS REDDY,M,60,GEN
MANOHAR Alias SAGAR PUNDLIKRAO DABRASE,M,47,SC
MANOHAR ANANDRAO PATIL,M,58,GEN
MANOHAR IYER,M,40,GEN
MANOHAR LAL PATWA (LALU KORI),M,30,SC
Manohar Lal Saroj,M,45,SC
Manoharan M,M,60,GEN
MANOHARAN P,M,54,GEN
Manoj Agarwal,M,54,GEN
MANOJ CHOUDHARY,M,48,GEN
MANOJ GAYKWAD CHHATTISGARHIYA,M,29,SC
Manoj Gupta,M,36,GEN
Manoj Kotak,M,46,GEN
MANOJ KOTHUJI BAWANE,M,43,GEN
MANOJ KUMAR,M,29,GEN
Manoj Kumar,M,37,GEN
MANOJ KUMAR,M,35,GEN
MANOJ KUMAR,M,48,GEN
Manoj Kumar,M,46,GEN
Manoj Kumar Acharya,M,37,GEN
MANOJ KUMAR GUPTA,M,42,GEN
Manoj Kumar Joshi,M,48,GEN
Manoj Kumar Mandal,M,45,GEN
MANOJ KUMAR MISHRA,M,28,GEN
MANOJ KUMAR MISHRA,M,45,GEN
MANOJ KUMAR PANDEY,M,49,GEN
MANOJ KUMAR RANA,M,46,GEN
MANOJ KUMAR SAH,M,44,GEN
MANOJ KUMAR SINGH,M,30,SC
Manoj Kumar Singh,M,44,SC
Manoj Kumar Soni,M,47,SC
MANOJ KUMAR YADAV,M,62,GEN
MANOJ M POOVAKKADU,M,30,SC
Manoj Premchand Gupta,M,35,GEN
MANOJ RAGHUVANSHI,M,27,SC
MANOJ RAJORIA,M,49,SC
MANOJ RANA,M,48,GEN
MANOJ SHARMA,M,45,GEN
MANOJ SINGH KUSHVAHA,M,45,GEN
MANOJ SINHA,M,59,GEN
Manoj Tiwari,M,39,GEN
MANOJ TIWARI,M,47,GEN
MANOJ VIKAT,M,45,GEN
Manoj Yadav,M,38,GEN
Manojkumar Jayprakash Singh,M,36,GEN
MANORAJ DWIVEDI,M,41,GEN
"MANSOORALI KHAN, A.",M,56,GEN
Mansukhbhai Dhanjibhai Vasava,M,61,ST
Mantesh Kumar,M,40,SC
MANTOSH KUMAR MANDAL,M,72,GEN
MANTU KUMAR,M,37,GEN
MANU SINGH MARAVI,M,49,GEN
MANVENDRA SINGH,M,55,GEN
MANVENDRA SINGH BITTU BHAIYA,M,27,GEN
MANWINDER SINGH GIASPURA,M,44,SC
MANZOOR AHMAD KHAN,M,47,GEN
Maradagi Veerappa Gurushantappa,M,46,GEN
Maragadam M,F,49,SC
Maragatham K,F,36,SC
"MARAKATHA RAGHAVA RAJ, T.",M,63,GEN
MARAM SRINIVASA REDDY,M,27,GEN
MARAM VENKAT REDDY,M,48,GEN
MARANG HANSDA,M,39,ST
Maraskolhe Bhojraj Isulal,M,47,ST
MARGANI BHARAT,M,36,GEN
MARK BABU,M,33,SC
Marphat Ali Khan,M,52,GEN
MARRI. NEHEMIAH,M,64,GEN
MARU JANARDHAN,M,37,GEN
MARU MANISHA BHARAT,F,37,SC
Maruti Ramchandra Joshi,M,74,GEN
MARUTI SIDDAPPA CHOUGULE,M,51,GEN
MARY NISHA HANSDAK,F,35,ST
Master Baldev Singh,M,61,SC
MASTER RAMESH KHATRI LAMBARDAR,M,58,GEN
Mastram Kori,M,49,SC
MATHAN SINGH MARKAM,M,40,ST
MATHE. BOBBY,M,29,SC
MATHEWS,M,63,GEN
MATHIVANAN.S.S,M,32,SC
MATHURA,M,45,SC
Matiar Rahman,M,35,GEN
MATLOOB AHMAD,M,43,GEN
MATTA SATISH CHAKRAVARTHY,M,37,GEN
MAUJILAL,M,44,SC
MAULASAB TADAKAL,M,63,GEN
MAUSAM NOOR,F,39,GEN
MAXIM PINTO,M,55,GEN
Maya Bhagat,F,40,ST
MAYALAGAN N,M,34,SC
Mayilamparai Mari A,M,42,GEN
MAYUR KHANCONKAR,M,28,GEN
MAYURSINH VANRAJSINH ZALA,M,27,GEN
MD EZARUDDIN,M,79,GEN
MD IMTIAZ KHAN,M,45,GEN
MD MERAJUDDIN,M,34,GEN
MD RAFIQUE ALAM,M,50,GEN
Md. Abul Kalam Azad,M,27,ST
Md. Afroj Alam,M,29,GEN
Md. Ajmer Alam,M,35,GEN
MD. AKHTAR ALI,M,37,GEN
MD. AKRAM,M,44,GEN
MD. ALAM,M,44,GEN
MD. Anwar,M,42,GEN
Md. Arshad Husain,M,43,GEN
MD. DULAL HOQUE,M,40,GEN
MD. FIROJ ALI,M,39,GEN
MD. GORIBULLA MOLLA,M,43,GEN
MD. HABIBUR RAHAMAN,M,61,GEN
Md. Hanif,M,44,GEN
Md. Hariqul Islam Bhuyan,M,51,GEN
MD. ILIYASH KHAN,M,34,GEN
MD. IQBAL KHAN,M,35,GEN
MD. JALALUDDIN MONDAL,M,59,GEN
MD. KALIMULLAH,M,46,GEN
MD. KHALIQUE ANSARI,M,26,GEN
MD. MAHBOOB ALAM,M,52,GEN
MD. MATIN,M,31,GEN
MD. MINHAZ ALAM,M,33,GEN
MD. MOAZZEM HOSSAIN,M,63,GEN
MD. MOBINUL HAQUE,M,46,GEN
MD. MOIN UDDIN AHMAD,M,42,GEN
MD. MUBARAK,M,45,GEN
MD. MUKHTAR,M,64,GEN
MD. MUSTUKIM,M,48,GEN
MD. SAHAJAN BADSHA,M,34,GEN
MD. SALIM,M,61,GEN
Md. Shanawaz,M,61,GEN
MD. SHYEAD AHAMED,M,55,GEN
Md. Tabarok Hossain Molla,M,28,GEN
MD. TAUFIQUE AHMAD,M,36,GEN
MD. ZAHIR ALAM,M,62,GEN
MD. ZULFIKAR ALI,M,53,GEN
Meda Malla Reddy,M,68,GEN
MEDA SRINIVAS,M,50,GEN
MEDAPATI VARAHALA REDDY,M,44,GEN
MEDIHALA CHALAVADI M CHANDRASHEKAR,M,41,SC
MEDIPELLY SHEKAR REDDY,M,30,GEN
MEDISETTI VIJAYA KUMAR,M,53,GEN
MEENA/LALIT RAIKWAR,F,44,GEN
MEENAKASHI LEKHI,F,51,GEN
MEENAKSHI,F,34,GEN
Meenakshi Chouhan,F,44,GEN
MEENAKSHI MUNDA,F,40,ST
Meenakshi Natarajan,F,45,GEN
MEERA KUMARI YADAV,F,41,GEN
MEERA SINGH,F,47,ST
MEERSHYAM LILHARE LODHI,M,47,GEN
MEGHARAJ SHIVAGOUDAPPA KHANAGOUDAR,M,30,GEN
MEGHNATH RAWANI,M,47,GEN
MEGHVAL BHIMJIBHAI BHIKHABHAI,M,34,SC
MEHABUB KHAN,M,34,GEN
MEHAR SINGH,M,53,SC
MEHBOOBA MUFTI,F,59,GEN
MEHBUBAR RAHMAN,M,46,GEN
MEHEDI IQBAL HASAN SAYYED,M,33,GEN
Mehta Nanalal Kalidas,M,62,GEN
MEIRA KUMAR,F,74,SC
MEKALA SATHEESH REDDY,M,36,GEN
MEKALA VENKANNA,M,33,GEN
MEKKONDA RAMREDDY,M,40,GEN
Mellegatti Shridevi,F,41,GEN
Menka Raman,F,38,GEN
Meraj Bi Husain Khan,F,49,GEN
MERAJ KHAN,M,40,GEN
Merige Santhosh Reddy,M,36,GEN
METTA RAMARAO,M,53,GEN
Mevati Hina Yusufbhai,F,44,GEN
MHENDRA SINGH,M,69,GEN
MICHAEL RAYAPPAN S,M,55,GEN
MIHIR CHANDRA MAHATO,M,43,GEN
MIJANUL HAQUE,M,36,GEN
MILAN MANDI,M,40,ST
MILI ORAON,F,42,ST
MILIND (ANNA) KAMBLE,M,35,SC
Milind B. Salvi,M,61,SC
MILIND KAMBLE,M,35,SC
Milind Pralhad Dahiwale,M,39,SC
Milind Shankar Repe,M,57,GEN
MIMI CHAKRABORTY,F,30,GEN
Minakshi Someshwar Kurwade,F,38,SC
MINATI BISWAS,F,56,SC
MINATI BISWAS,F,51,SC
MINATI SARKAR,F,61,GEN
Minaxiben Rakeshkumar Solanki,F,32,SC
Mintu Kumar,M,31,GEN
MIR HUSSAIN SARKAR,M,28,GEN
MIR TIPU SULTAN ALI,M,51,GEN
MIRA DEVI,F,26,SC
MIRZA SAJAD HUSSAIN BEIGH,M,36,GEN
MISBAHUL ISLAM,M,47,GEN
MISHA BHARTI,F,42,GEN
Mishra Arjun Ramshankar,M,27,GEN
Mishra Rajkumar Malekchand,M,38,GEN
Mishri Kathat,M,67,GEN
MISHRI LAL,M,30,SC
Miss Juspin Lakra,F,48,ST
Mita Chakraborty,F,44,GEN
MITHRA KUMAR G,M,58,GEN
MITHUN M RAI,M,34,GEN
MITTA PARTHASARATHI,M,60,GEN
MITTAPELLI MALLAIAH,M,56,GEN
Mizanoor Rahaman,M,45,GEN
MO. ARBI,M,39,GEN
MO. ATEEQ,M,60,GEN
Mo. Hasan Lahari,M,38,GEN
Mo. Tanweer Hassan,M,59,GEN
Mo. Yusuf Mo. Farooq Khan,M,40,GEN
Moda Ram Meghwal,M,30,SC
Modugula Venugopala Reddy,M,52,GEN
MOH. ATEEK,M,55,GEN
MOH. KHURRAM QURESHI,M,52,GEN
Moh. Mumtaz Raza,M,39,GEN
Mohamad Idris,M,64,GEN
MOHAMED HAYATH,M,35,GEN
Mohamed P K,M,60,GEN
MOHAMMAD AKBAR LONE,M,71,GEN
MOHAMMAD ASHIQ IBRAHIMI,M,67,GEN
MOHAMMAD ATAHAR HUSAIN,M,48,GEN
Mohammad Azam Khan,M,64,GEN
Mohammad Hayat Mohammad Husain Shaikh,M,54,GEN
MOHAMMAD IRFAN,M,33,GEN
MOHAMMAD ISHAQ,M,47,GEN
MOHAMMAD JAMAL,M,47,GEN
Mohammad Jaqeer Abdul Qadar,M,43,GEN
MOHAMMAD KHALID,M,42,GEN
MOHAMMAD MEHMOOD SYED SHAH,M,47,GEN
MOHAMMAD MOBIN SHAIKH (AZMI),M,44,GEN
MOHAMMAD MUKHTAR ALAM,M,32,GEN
MOHAMMAD NASIR,M,54,GEN
Mohammad Sadique,M,78,SC
Mohammad Surkhab Alam,M,37,GEN
MOHAMMED ABDUL AZEEM,M,51,GEN
MOHAMMED ABDUL WAKEEL,M,47,GEN
MOHAMMED AHMED KHAN (AHMED NETA),M,53,GEN
MOHAMMED ALEEMULLA,M,37,GEN
MOHAMMED ALLI,M,54,GEN
MOHAMMED ELIYAS,M,57,GEN
MOHAMMED FAIZAL PP,M,43,ST
MOHAMMED FEROZ KHAN,M,46,GEN
MOHAMMED NAWAZ,M,33,GEN
Mohammed Rizwan Mohammed Akbar,M,44,GEN
MOHAMMED YOUSUF,M,42,GEN
MOHAMMED YUSUF KHAN,M,51,GEN
MOHAMMED ZABROOD KHATEEB,M,44,GEN
MOHAN,M,51,GEN
Mohan Anandrao Waghmare,M,36,SC
MOHAN AYYAPPA,M,29,GEN
Mohan Bind,M,41,GEN
Mohan Fattusing Rathod,M,60,GEN
MOHAN GURAPPA MOTANNAVAR,M,43,SC
MOHAN HASDA,M,30,ST
Mohan Joshi,M,62,GEN
MOHAN KUMAR GUPTA,M,31,GEN
Mohan Kumar Hembram,M,43,ST
Mohan Lal,M,37,GEN
Mohan Lal,M,60,GEN
MOHAN LAL SHARMA,M,72,GEN
MOHAN MANDAVI,M,61,ST
MOHAN N,M,37,SC
Mohan Sah,M,61,GEN
Mohan Shankar Birhade,M,53,SC
MOHAN SINGH,M,29,SC
Mohan Singh Tekam,M,41,ST
Mohan Vishnu Raut,M,35,GEN
MOHAN.P,M,63,GEN
MOHANAM,M,66,SC
MOHANKUMAR,M,49,GEN
Mohanlal,M,25,SC
MOHANLAL BASUMATA,M,44,ST
MOHANRAJ A,M,52,SC
MOHD AHMED,M,34,GEN
MOHD AYUB,M,55,GEN
Mohd Gufran Kazmi,M,41,GEN
Mohd Irfan,M,41,GEN
MOHD MAQBOOL WAR,M,65,GEN
Mohd Saleem,M,51,GEN
MOHD SAROOR ALI,M,40,GEN
Mohd Younis,M,54,ST
MOHD. ASLAM URF PASHA,M,48,GEN
MOHD. HASAN,M,44,GEN
MOHD. IRFAN,M,41,GEN
MOHD. IRFAN JAVED QURESHI,M,57,GEN
MOHD. JAMEEL,M,35,GEN
MOHD. JAVED ANSARI,M,36,GEN
MOHD. JIBRAIL,M,51,GEN
Mohd. Khushi,M,30,GEN
MOHD. MASROOR,M,39,GEN
MOHD. NASEEM ANSARI,M,52,SC
Mohd. Salim Ahmed,M,50,GEN
MOHD. SHAKEEL (ADV.),M,45,GEN
"Mohd. Talat Khan ""Talat""",M,48,GEN
MOHD. UVAIS,M,54,GEN
MOHD. YAHIYA SIDDIQUE,M,36,GEN
MOHD. YUNUS,M,38,GEN
MOHD. ZAHID,M,29,GEN
MOHDAL SINGH PAV,M,65,ST
Mohendra Chandra Das,M,44,SC
Mohinder Kumar,M,46,GEN
MOHINDER SINGH,M,77,SC
MOHINDER SINGH,M,59,SC
MOHINDER SINGH NAMDHARI,M,70,GEN
MOHINDERPAL SINGH DANGARH,M,39,GEN
MOHRIL MURMU,M,69,ST
MOHSIMMIYA (SAIYAD MOHSIN BAPU),M,58,GEN
MOHSIN BHANEJ,M,30,GEN
Mohsin Sir Nasim Bhai,M,29,GEN
MOIRANGTHEM NARA SINGH,M,69,GEN
Mokalla. Murali Krishna.,M,54,ST
Mokim Uddin,M,49,GEN
MOLAPIYA ABDULKUDUS ABDULMAJID,M,44,GEN
Molhey Ram Rawat,M,77,SC
MONA SUSTANI,F,50,GEN
MONATAN HEMBRAM,M,35,ST
Mongol Yomso,M,47,ST
Moni Kumar,M,35,SC
Moni Madhab Mahanta,M,41,GEN
MONIKA KISKU,F,32,ST
MOOKAMBIKA. R,F,40,GEN
MOON MOON SEN,F,65,GEN
MOORTHY. D,M,49,SC
MOOVANDHAN,M,42,GEN
Morigadi Krishna,M,50,GEN
MORTHA SIVA RAMA KRISHNA,M,29,SC
MOTIUDDIN,M,35,GEN
Motyar Rahaman,M,49,GEN
MOULAPPA. A. MALGE,M,41,SC
MP YADAV,M,50,GEN
Mrinal Kanti Bhattacharjee,M,57,GEN
Mrinal Kanti Debnath,M,68,GEN
MRITUNJAY ROY,M,38,GEN
MRITYUNJOY MAHATO,M,57,GEN
Mrs. Pravina Laxmanrao Bhatkar,F,58,GEN
MUBARAK ALI,M,42,GEN
Mubin Khan,M,59,GEN
MUDIRAJ VENKATESHAM,M,46,GEN
MUFTI SHIAK ABDUL GAFFAR,M,44,GEN
Mugi Surya Prakash,M,63,GEN
MUHAMMAD SHAKUR,M,76,GEN
Muhammed Basheer Koyissery,M,65,GEN
Muhammed Basheer Mangalassery,M,53,GEN
Muhammed Basheer Nechiyan,M,55,GEN
Mujeeb Rahman,M,35,GEN
MUJEEB RAHMAN T A,M,42,GEN
Mujib Naimuddin Inamdar,M,33,GEN
MUKESH,M,53,SC
MUKESH BANSOD,M,38,SC
MUKESH DANGI,M,29,GEN
Mukesh Devi,F,41,GEN
Mukesh Gena,M,31,GEN
MUKESH JADLY,M,48,GEN
Mukesh Kumar,M,34,GEN
Mukesh Kumar,M,48,GEN
MUKESH KUMAR,M,43,GEN
MUKESH KUMAR,M,59,GEN
MUKESH KUMAR GUPTA,M,43,GEN
Mukesh Kumar Jha,M,30,GEN
MUKESH KUMAR SINGH,M,43,GEN
MUKESH PACHARA,M,58,GEN
Mukesh Rajesh Kuril,M,38,SC
Mukesh Rajput,M,50,GEN
Mukesh Sahani,M,40,GEN
MUKESH SINGH,M,36,GEN
Mukhtiyar Abdulrahim Shaikh (BansiMama),M,57,GEN
Mukka Srinivas Rao,M,39,GEN
MUKKISA RATHNAKAR REDDY,M,42,GEN
Mukti Yadav,F,29,GEN
MUKUL BISWAS,M,45,SC
Mukul Chaudhary,F,38,SC
Mukut Bihari,M,71,GEN
MULA RAM,M,34,GEN
MULAYAM SINGH YADAV,M,79,GEN
Mulla Mushtak Ajij,M,47,GEN
Munafar Jainubhidin Choudhary,M,40,GEN
Mundra Anilkumar,M,40,GEN
MUNEER PASHA,M,39,GEN
Munesh Singh,M,46,GEN
Muneshwar Tiwari,M,50,GEN
MUNESHWARAN. K,M,44,SC
MUNIR AHMAD ANSARI,M,45,GEN
MUNIRAJAPPA. P,M,38,SC
Muniraju.G,M,30,SC
"MUNIYASAMY, V.",M,41,GEN
MUNNA,M,55,GEN
MUNNA BARAIK,M,26,ST
MUNNA LAL,M,37,SC
MUNNA SINGH,M,46,GEN
Munni,F,41,GEN
MUNNI KRANTI,F,54,ST
Munnurukapu Gopal Reddy,M,47,GEN
Munusamy A,M,51,SC
MURALEEDHARAN.K KUTTIYIL VEEDU,M,50,GEN
MURALEEDHARAN.K SANDRAM,M,49,GEN
MURALI,M,29,GEN
MURALIDHAR JENA,M,70,SC
MURALIKRISHNA KANDERI,M,41,SC
Murari Kapri,M,35,GEN
Murlidhar Lalsing Pawar,M,60,GEN
MURTHY KAMARAJAR.M,M,33,GEN
MURTHY.M,M,56,GEN
"MURUGAN, P.",M,31,GEN
Murugesan,M,53,SC
MURUGESAN S,M,60,SC
"MURUGESAN, P.",M,62,GEN
"MURUGESAN, S .P,",M,46,SC
MUSARRAT HUSAIN,M,58,GEN
MUSKU RAJESHWAR,M,59,GEN
Muslima Khatun,F,32,GEN
MUSTHAFA KOMMERI,M,37,GEN
MUTHENNA LAKKARA,M,50,SC
Muthu K R P,M,47,GEN
MUTHU.U,M,49,GEN
Muthukumar G,M,46,GEN
MUTHUKUMAR T,M,34,GEN
MUTHUKUMAR. C,M,46,GEN
MUTHUKUMAR. S,M,49,GEN
"MUTHULAKSHMI, R.",F,44,GEN
Muthumaran K,M,34,GEN
MUTHUMURUGAN. M,M,28,SC
MUTHUSAMY M.P.,M,63,SC
"MUTHUVEL,S .",M,49,SC
Muttamsetty Prasad babu,M,66,GEN
Muttappa Mudakappa Hirekumbi,M,45,GEN
Muttu S Surakod (Madar),M,33,SC
MUTYAM ARJUNA RAJU,M,30,GEN
N . SHANKAR GOUD,M,44,GEN
N T VIJAYAKUMAR,M,55,SC
N. AMBARISH,M,32,SC
N. D. VENU,M,45,GEN
N. GANGARAM,M,46,SC
N. Hanume Gowda,M,56,GEN
N. J. Vidyasagar,M,51,SC
N. KATHIRAVAN,M,52,GEN
N. KRISHNAPPA,M,67,GEN
N. MALLAREDDY,M,42,GEN
N. NAGESH,M,35,SC
N. Narayana Swamy,M,52,SC
N. OMKAR REDDY,M,29,GEN
N. REDDEPPA,M,68,SC
N. SHIVANNA,M,74,GEN
N. TAMIZH MARANE,M,46,GEN
N.ASLAM RAHMAN SHERIFF,M,35,GEN
N.C. SUBBARAYAPPA,M,56,SC
N.G. PARTHIBAN,M,43,GEN
N.Jayarajan,M,58,SC
N.K.Premachandran,M,58,GEN
N.KARTHICK,M,25,GEN
N.P. KUSHWAHA ALIAS NATHUNI PRASAD KUSHWAHA,M,65,GEN
N.R. Prajapati,M,48,SC
N.SATHEESH KANNAN,M,28,SC
N.SHARMILA BEGUM,F,30,GEN
N.SRINIVASA,M,43,GEN
N.SUBRAMANI,M,48,GEN
N.T.VIJAYAKUMAR,M,55,SC
N.Vikraman,M,35,SC
Naba Kumar Sarania,M,50,ST
NABAKISHORE PRADHAN,M,51,GEN
NABAM TUKI,M,51,ST
NABBAN KHAN,M,63,GEN
Nabi Ahmad Ahmad Dulla,M,46,GEN
Nabi Hussain,M,54,GEN
Nachi. S,F,33,GEN
NADAKUDITI NAGA GAYATHRI,F,38,GEN
Nade Dnyaneshwar Dagduji,M,52,SC
Nadim Rana,M,45,GEN
NADIR ALI MANSOORI,M,45,GEN
NADISHARAM MALLAIAH,M,40,GEN
Nafees Ansari,M,42,GEN
NAFISH AHMAD,M,47,GEN
NAGA JOTHI K,F,33,GEN
NAGABABU KONIDELA,M,58,GEN
Nagajothi M,F,53,GEN
"NAGARAJ , M",M,31,SC
NAGARAJ ANANT SHIRALI,M,52,GEN
NAGARAJ KALAL,M,44,GEN
NAGARAJ NAIK,M,36,GEN
Nagaraj.G,M,42,GEN
Nagarajan S,M,26,GEN
"NAGARAJAN, A.",M,36,SC
Nagaraju Ekula,M,42,SC
Nagendra Kumar,M,50,GEN
Nagendra Kumar,M,29,GEN
Nagendra Rao Shinde,M,43,GEN
Nagendra Singh Tyagi,M,44,GEN
NAGESH SUBHASH BOBATE,M,26,GEN
NAGESH.L,M,47,GEN
NAGESHWAR GANJHU,M,36,GEN
Nageshwar Prasad Singh,M,55,GEN
NAGESWARA RAO LAKAVATH,M,27,ST
Nagmani,M,40,GEN
NAGOOR MEERAN PEER MOHAMED. U,M,59,GEN
NAGRAJ SHRIDHAR SHET,M,32,GEN
Nagratna Siddharth,M,48,SC
NAGULAPALLY DEVENDAR,M,36,GEN
Nahar Singh,M,66,GEN
NAIDUGARI RAJASEKHAR,M,35,GEN
Naim,M,51,GEN
NAIMISH PRATAP NARAYAN SINGH,M,41,GEN
NAINAR NAGENTHRAN,M,59,GEN
NAJEERA BEGAM,F,40,GEN
NAJIMUNNISSA,F,48,GEN
NAKIRIKANTI. CHITTEMMA,F,42,SC
Nakul Dubey,M,53,GEN
NAKUL KAMAL NATH,M,44,GEN
NAKUM NARMADABEN KHODALAL,F,60,GEN
NALIMELA MAHENDER,M,25,GEN
Nalin Chandra Murmu,M,62,ST
NALIN KUMAR KATEEL,M,52,GEN
Nalina.K.S,F,26,GEN
NALINI KANTA PRADHAN,M,61,GEN
NALLA BALAKISHAN,M,48,GEN
NALLA NADPI MUTHANNA,M,51,SC
Nalla Prem Kumar,M,47,SC
NALLAM SURYA CHANDRA RAO,M,59,GEN
NALLATHAMBI P,M,66,GEN
NALLI RAJESH,M,36,SC
NALLURI VIJAYA SRINIVASA RAO,M,55,GEN
NAMA NAGESWR RAO,M,62,GEN
NAMBALLA KRISHNA MOHAN,M,44,GEN
Namdo Keshao Kinake,M,50,ST
Namonarayan,M,75,ST
NANA PATOLE,M,56,GEN
Nanak Singh Chauhan,M,64,SC
Nanaso Ramhari Yadav,M,39,GEN
NAND KISHOR PRAJAPATI,M,40,SC
NAND KISHOR YADAV,M,50,GEN
Nand Kishore Gupta,M,47,GEN
NAND KISHORE RAJ,M,45,ST
NAND KISHORE YADAV,M,64,GEN
NANDA KISHORE KISKU,M,70,ST
NANDA MARUTI KODACHWADKAR,F,54,GEN
Nandan Kumar,M,26,GEN
NANDHAVANAM SUSEELAN,M,66,GEN
NANDIGAM SURESH,M,42,SC
Nandini Mukherjee,F,53,GEN
NANDINI NALLAGHATLA,F,43,GEN
NANDIPATI VINOD KUMAR,M,45,GEN
NANDITA NAG,F,47,GEN
Nandkishor Ramaji Sagar(More),M,52,GEN
NANDKISHOR SHAU,M,62,GEN
Nandkumar Jagannath Chavhan,M,48,GEN
NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),M,66,GEN
Nandlal,M,38,SC
Nandlal Meena,M,43,GEN
NANDLAL PRASAD,M,43,GEN
NANDLAL PRASAD KESHARI,M,59,GEN
Nandu Sambhaji More,M,46,SC
NANGUNOORI LATHA,F,43,GEN
NANJUNDASWAMY,M,58,SC
Narad Pandit,M,46,GEN
NARAHARISETTY. NARASIMHARAO.,M,58,GEN
NARALA SATYANARAYANA,M,46,GEN
NARAMALLI SIVA PRASAD,M,67,SC
Naran Tudu,M,25,ST
Narasapuram Prasad,M,50,GEN
NARAVA SATYAVATHI,F,37,ST
NARAYAN BANJARE,M,53,GEN
Narayan Chandar Mulik,M,45,GEN
NARAYAN CHANDEL,M,58,GEN
Narayan Chandra Dey,M,49,GEN
Narayan Das Jatav,M,41,SC
Narayan Dasharath Gavas,M,41,GEN
NARAYAN NAMDEV,M,57,GEN
NARAYAN SINGH UIKE,M,33,ST
NAREND NAG,M,37,ST
NARENDRA ADHIKARI,M,30,GEN
NARENDRA ANNASAHEB PATIL,M,44,GEN
Narendra Babulal Kathane,M,37,SC
Narendra Chandra DebBarma,M,76,ST
Narendra Chauhan,M,45,GEN
NARENDRA KUMAR,M,58,GEN
Narendra Kumar. K,M,42,ST
NARENDRA MODI,M,68,GEN
NARENDRA NATH HEMBRAM,M,53,ST
NARENDRA PANDEY (RAM JI),M,45,GEN
NARENDRA SINGH,M,33,SC
NARENDRA SINGH,M,49,SC
NARENDRA SINGH TOMAR,M,61,GEN
NARENDRABHAI REVASHANKAR TRIVEDI,M,65,GEN
NARENDRBHAI MORE,M,56,SC
NARESH BAI JANGDE,F,30,SC
Naresh Chandra,M,44,GEN
NARESH CHANDRA BARUI,M,47,SC
NARESH CHANDRA ROY,M,46,SC
NARESH KR SINGH,M,58,GEN
NARESH KUMAR,M,55,SC
Naresh Kumar,M,38,SC
NARESH KUMAR,M,64,SC
NARESH KUMAR,M,45,SC
NARESH KUMAR,M,33,SC
Naresh Kumar Atal,M,31,SC
NARESH KUMAR DAHARIYA,M,41,SC
NARESH KUMAR POOJALA,M,25,GEN
NARESH KUMAR SAINI,M,39,GEN
Naresh Mahadev Ghughane,M,42,GEN
NARESH MAKWANA,M,39,SC
NARESH NARANBHAI MAHESHWARI,M,52,SC
Naresh Prasad,M,46,GEN
Naresh Ram,M,43,SC
NARESH YADAV,M,35,GEN
NARESH YADAV,M,34,GEN
NARESHKUMAR RAMESHBHAI PATEL,M,29,GEN
Narinder Singh Shergill,M,51,GEN
NARSAIAH AKKAGARI,M,42,GEN
Narukara Gopi,M,55,GEN
Narveer Fauji,M,39,SC
NASAR. K.,M,35,GEN
Nasim Rauf Baba Khan,F,42,GEN
NASIMUDDIN SIDDIQUI,M,59,GEN
NASIR ALI,M,50,GEN
NASIR ALI KHAN,M,46,GEN
NASIR KHAN,M,66,GEN
NASMUL HOQUE,M,40,GEN
Nasrulla,M,38,GEN
NATARAJAN A,M,46,GEN
NATARAJAN M,M,51,GEN
"NATARAJAN,N.R .",M,52,GEN
NATARAJAN. A,M,67,GEN
NATARAJAN. P.R,M,68,GEN
NATARAJAN.C,M,55,GEN
Nathalal Sukhadiya,M,44,GEN
NATHANSAHA KAWRETI,M,57,ST
Nathu Ram,M,61,GEN
Nathuram Hate,M,58,SC
NATTA BHAVANNA,M,42,SC
NAUSHA KHAN,M,60,GEN
NAVAJYOTI PATNAIK,M,46,GEN
NAVAL KISHOR RATHIA,M,29,ST
NAVANIT,M,40,GEN
NAVEEN,M,33,SC
Naveen Jatav,M,32,SC
NAVEEN KUMAR,M,44,SC
Naveen Kumar Singh,M,39,GEN
NAVEEN KUMAR. S,M,29,ST
NAVIN,M,30,GEN
NAVIN CHANDRA DAS,M,69,SC
Navin Gupta,M,47,GEN
Navin Kumar,M,41,GEN
Navinchandra Bhalchandra Bandivadekar,M,62,GEN
Navnath Bhimrao Patil,M,32,GEN
Navnath Vishwanath Dudhal,M,58,GEN
Navnit Ravi Rana,F,33,SC
NAWAB ALI,M,44,GEN
NAWAB GUL CHAMAN SHERWANI,M,36,GEN
Nawaz Dilber,M,42,GEN
NAYAB SINGH,M,49,GEN
NAYAKARA RAMAPPA,M,30,ST
NAYUB KAMAL SHAIK,M,52,GEN
NAZIA YASMIN MAZUMDAR,F,38,GEN
Nazir Ahmad Lone,M,46,GEN
Nazir Ahmad Sofi,M,33,GEN
Nazir Ahmed,M,62,GEN
Nazmin Shaikh Ramjan,F,33,GEN
Nazmul Haque Laskar,M,48,GEN
NEEL JUSTINE BECK,M,47,ST
Neel Kumar,M,29,SC
NEELAM KUMARI,F,53,GEN
Neelam Sonker,F,43,SC
NEELU DEVI,F,43,SC
Neena Mittal,F,47,GEN
NEERADI PRAVEEN,M,30,ST
